# Timestep     No_Moles     No_Specs     C2	H2O2	
100         40          2	 30	 10	
# Timestep     No_Moles     No_Specs     C2	H2O2	
200         40          2	 30	 10	
# Timestep     No_Moles     No_Specs     C2	H2O2	
300         40          2	 30	 10	
# Timestep     No_Moles     No_Specs     C2	H2O2	
400         40          2	 30	 10	
# Timestep     No_Moles     No_Specs     C2	H2O2	
500         40          2	 30	 10	
# Timestep     No_Moles     No_Specs     C2	H2O2	
600         40          2	 30	 10	
# Timestep     No_Moles     No_Specs     C2	H2O2	C3	C	
700         40          4	 28	 10	 1	 1	
# Timestep     No_Moles     No_Specs     C2	H2O2	C3	C	
800         40          4	 28	 10	 1	 1	
# Timestep     No_Moles     No_Specs     C2	H2O2	C3	C	
900         40          4	 28	 10	 1	 1	
# Timestep     No_Moles     No_Specs     C2	H2O2	C3	C	
1000         40          4	 28	 10	 1	 1	
# Timestep     No_Moles     No_Specs     C2	H2O2	C3	C	
1100         40          4	 28	 10	 1	 1	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
1200         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
1300         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
1400         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
1500         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
1600         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
1700         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
1800         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
1900         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
2000         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
2100         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
2200         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
2300         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
2400         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
2500         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
2600         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
2700         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
2800         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
2900         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
3000         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
3100         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
3200         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
3300         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
3400         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
3500         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
3600         41          3	 29	 10	 2	
# Timestep     No_Moles     No_Specs     C2	H2O2	C	
3700         41          3	 29	 10	 2	
